signal_month,return_column,observations,design_columns,condition_number,intercept,beta_log_size,beta_market,beta_volatility,beta_liquidity,residual_mean,residual_std,regression_valid
2015-04-30,forward_return_1m,2521,83,531145136333.7997,0.24940156756105772,0.018645764693514453,-0.018149165310319015,0.11044713934152413,-0.1861903674629393,-3.100345138183698e-17,0.2472939382067649,True
2015-05-31,forward_return_1m,2530,83,493232257240.2251,-0.07233576870946855,0.05613103212760039,-0.0597629475468169,-0.008697828931870086,-0.1645503267501732,-6.6701146143487666e-18,0.20857282467886235,True
2015-06-30,forward_return_1m,2543,83,513136554730.1529,-0.20355502428588707,0.12029950784658947,0.01574780724093767,0.012823070068395323,-0.16344441641180774,1.184878210315641e-16,0.1803219577337751,True
2015-07-31,forward_return_1m,2471,83,499539661212.03406,-0.1202837036433261,-0.020876441480021178,-0.009060083314968874,-0.0262360543298547,-0.011269260194134606,9.273574758503938e-17,0.1614283557857597,True
2015-08-31,forward_return_1m,2423,83,457396435560.56464,-0.016819063352689203,-0.0024884838909115157,0.007998305595588836,0.011325020873318969,-0.02302443502504058,8.797475061000002e-18,0.14219872506236345,True
2015-09-30,forward_return_1m,2427,83,462424158582.0797,0.1514759725420157,-0.04849896195035888,0.018320648232913798,0.02031135305046183,0.015782875935628465,1.463829286691595e-17,0.14285865531178196,True
2015-10-31,forward_return_1m,2472,83,422012997553.26807,0.09907907293573152,-0.05246657280194403,0.01470626909673255,-0.0012912782303015815,-0.023912982926323927,6.826614067274426e-17,0.1639236994677276,True
2015-11-30,forward_return_1m,2548,83,454681154670.37994,0.05390297472054088,-0.012827117570297343,-0.01020788494305247,-0.012059726730707925,-0.030791199021077242,5.786405717041632e-17,0.12466062084125176,True
2015-12-31,forward_return_1m,2637,83,457913174669.63666,-0.2851324911599827,0.04452890881725081,0.00120873545817628,0.01905806965304333,-0.08656765455636561,1.2967337564829285e-16,0.1263669372756847,True
2016-01-31,forward_return_1m,2645,83,467420192028.04114,-0.021313874653399987,-0.0015909343146520117,-0.0035492274806001958,-0.0030973355378383608,-0.006500740314374398,1.0073857312288756e-17,0.10189487457284861,True
2016-02-29,forward_return_1m,2632,83,437939802292.10944,0.18631103542747648,-0.030853096284143386,0.006565462233352522,0.010588718761270675,0.0025902739460597823,2.6321396936401888e-17,0.11788562115737543,True
2016-03-31,forward_return_1m,2659,83,451739717450.30585,0.0253795681034135,0.0108312585996108,-0.004491496797475918,0.012179170547060794,-0.06517524834940987,2.004163414140937e-18,0.11762671703072827,True
2016-04-30,forward_return_1m,2641,83,454309283915.87054,-0.013463963440727983,0.022730829135318605,0.0008819618929660436,0.013848612390078209,-0.04147019687431064,7.566836214787132e-18,0.10476326184817977,True
2016-05-31,forward_return_1m,2638,83,421022722671.569,0.0010323868645932942,0.013746571420292977,0.006184317074915627,0.04497019713537887,-0.061287289235078576,-2.6934902796061417e-18,0.12759077984668568,True
2016-06-30,forward_return_1m,2662,83,435402354877.1033,-0.02325653587151837,0.05534116593772172,-0.002888195752850369,0.03486158329275304,-0.10384595631974486,1.0676825480993242e-17,0.12355781193729706,True
2016-07-31,forward_return_1m,2706,83,419029489627.4731,0.0450315066119958,0.03156604910083131,0.004085817496185306,0.06302270838899218,-0.087396000009119,4.627980679146994e-17,0.11272647792901166,True
2016-08-31,forward_return_1m,2750,83,436872032675.88196,-0.02912844607290211,0.0208413873636449,0.001680088451632484,0.03210943120502519,-0.07541014192938271,2.9067657372004098e-18,0.10342217539055326,True
2016-09-30,forward_return_1m,2788,83,399638173645.90546,0.022275820444075337,0.010918537951517163,-0.0013694847228688132,0.027398049716655208,-0.05126607331950805,3.8228626385945135e-17,0.10655569540766063,True
2016-10-31,forward_return_1m,2802,83,414352455224.7769,0.028974779213094784,0.028592239355807028,-0.0010203743383871288,0.050530858481792916,-0.07847703406241485,5.150927665998228e-18,0.11030285273528964,True
2016-11-30,forward_return_1m,2859,83,434434937537.5979,0.004449709773451134,0.020219279420516958,0.0014903845096438124,0.03149388896890803,-0.0662740193219523,-8.69849449164166e-18,0.10813484442260798,True
2016-12-31,forward_return_1m,2906,84,450921665011.08154,-0.02421973721358999,0.043218181519566176,0.0019318883076318938,0.015335078311523075,-0.0545326830138805,2.0019162591313903e-17,0.09937619336446116,True
2017-01-31,forward_return_1m,2947,84,497200365722.9911,0.038232058825740704,0.03128107004555513,0.00039356538051557973,0.053114952641465575,-0.07825029949118495,6.238647196400609e-17,0.11454523922625169,True
2017-02-28,forward_return_1m,2962,85,460464677097.71185,-0.0484332686067194,0.03523164739570072,-0.0008697129868241491,0.035247790922267194,-0.04440040732780703,1.499288351958348e-17,0.09842867454115052,True
2017-03-31,forward_return_1m,3015,86,471405876253.19836,-0.11603072679780163,0.04932773445388842,-0.0017274069066393902,0.009084145400771782,-0.0488355412835064,-1.9148125134496895e-17,0.1210394211334009,True
2017-04-30,forward_return_1m,3044,86,523712070742.78265,-0.08605692083917792,0.04193944653882125,-0.004471913492667733,0.016743875174136,-0.03855159584787092,5.25204058955396e-18,0.09858679899063846,True
2017-05-31,forward_return_1m,3054,87,518072900242.3683,0.027191023882573842,0.024559809091728037,0.0069551098015186805,-0.001257034146106672,-0.02288264895964086,5.0603485601775306e-17,0.09143739535029652,True
2017-06-30,forward_return_1m,3085,87,549007866111.3276,0.03068192383733105,0.03346246983415525,-0.000815291179798287,-0.00031087270254642676,-0.02478689562792376,3.4548269161755276e-18,0.11980218318384597,True
2017-07-31,forward_return_1m,3122,87,546931560728.39526,0.03182248568963189,0.029847511993691848,-7.882368386580967e-05,0.04575895862886956,-0.06058579086507476,1.8918598625899528e-17,0.11153381266741655,True
2017-08-31,forward_return_1m,3155,87,535257806094.3195,0.02985481770422542,0.022738435145822012,0.002180413804124722,0.009021434184565904,-0.03542855354231534,-3.1670387390258032e-18,0.1005758165370992,True
2017-09-30,forward_return_1m,3236,87,530525839948.7593,-0.03324423884208499,0.04798560158464582,0.0032048956164646707,0.020753329155438233,-0.05858835981040801,1.5644675501516422e-17,0.10961675811593485,True
2017-10-31,forward_return_1m,3259,87,537569237188.21594,-0.10828720785857318,0.04857451310881241,0.004550183814882249,0.009808276848025613,-0.03842284509063997,-3.9789521103472934e-17,0.09166935766756486,True
2017-11-30,forward_return_1m,3315,87,540117046556.50854,0.002599787556676056,0.018926465078322505,0.001357964997964266,0.004481410788983831,-0.009559491843596887,1.875489875686539e-18,0.0819876893050564,True
2017-12-31,forward_return_1m,3325,87,543475156002.44836,-0.04462414249790328,0.032621482099653536,-0.004272529427419251,-0.0012443721047955146,-0.02369625375877523,8.013639876993612e-18,0.11562356040556505,True
2018-01-31,forward_return_1m,3340,89,582050947512.0409,-0.006481767811627392,0.010632599977139034,-0.0007099569290042655,0.0017729236177554408,0.003424164256077946,1.1966475714522646e-18,0.08654043207757714,True
2018-02-28,forward_return_1m,3326,89,571965201864.0939,0.04202779881513675,-0.011969664022893574,0.007825357776764639,0.01847395443996402,-0.029671003341498976,1.6690063509097362e-17,0.12334322320529684,True
2018-03-31,forward_return_1m,3311,89,533437424281.26135,-0.08868785197047024,0.027830570186145306,-0.001112562798610601,0.013021790499798508,-0.04375860542049449,5.391841206877837e-17,0.09725684606453167,True
2018-04-30,forward_return_1m,3313,89,523292673411.3507,0.0439076949189281,0.00660163919780398,0.006354044344818594,0.007151428849657597,-0.01655794515121814,1.6085332080292036e-17,0.12337799091259004,True
2018-05-31,forward_return_1m,3369,88,552244453470.4436,-0.15953332300270354,0.02444735248213065,0.0075129136182743896,0.027632822445565235,-0.017844522385824752,-9.807134821265853e-17,0.11006773885534388,True
2018-06-30,forward_return_1m,3385,89,558851565476.2653,0.006487362717470374,0.02435877198123603,8.11607495778618e-05,0.009901713040658226,-0.039648405419312284,4.7229576232207546e-18,0.09660155733884447,True
2018-07-31,forward_return_1m,3400,89,554517932256.0908,-0.05591893726176248,0.014605658234864715,-0.008676174418591242,-0.006970694141636196,-0.01856658593632247,-8.947091433743908e-18,0.07978218055520891,True
2018-08-31,forward_return_1m,3450,89,582615208717.5515,-0.007680672063585561,0.009535737845174717,-0.001172649002506136,0.00573524454870327,-0.00641569638994148,-2.445708691927881e-18,0.07854121269382089,True
2018-09-30,forward_return_1m,3486,89,597103518225.1606,-0.12028089627959088,-0.0016219678281551037,-0.003138118728825096,0.010982429606917182,-0.026928816406342353,1.5032279622004414e-17,0.08720893431935893,True
2018-10-31,forward_return_1m,3511,89,582551771116.8838,0.047241024384212814,0.009066073874156168,0.011529639671746042,0.006792193521609161,-0.028701906482968408,2.2261378790547144e-17,0.09624517594635165,True
2018-11-30,forward_return_1m,3542,89,560096919239.7924,-0.05439100527530266,-0.0016350984405069198,-0.0022246013348720776,-0.005024731596491452,-0.009767673370223788,2.35710817198791e-17,0.08467133483719488,True
2018-12-31,forward_return_1m,3555,90,558946327565.4357,-0.0596117805929961,0.03386612427616974,-0.0015627318468575068,-0.009846752897298241,-0.017153788231913318,1.5302652097505673e-17,0.09063943867710676,True
2019-01-31,forward_return_1m,3574,90,572214058919.9266,0.2113218368298941,-0.02244334295867492,0.008188393468111288,0.03044048464357079,0.013118366116204414,-8.349970593711306e-17,0.10908191204760789,True
2019-02-28,forward_return_1m,3580,90,682605672101.1892,0.11333704107182382,0.00937478107344456,0.003460718053262035,0.009280727228231665,-0.027066457402195085,1.125108696463706e-16,0.1261348728187441,True
2019-03-31,forward_return_1m,3591,90,643124559152.4999,-0.07068750645915457,0.028122104182037023,0.004241708806540121,-0.0034135369331227197,-0.03465356460409961,1.2737730051394165e-17,0.11607920872663609,True
2019-04-30,forward_return_1m,3600,90,626054193272.2146,0.2192791010900062,-0.011574568671396019,-0.011258383566477124,-0.0059016439898379605,-0.0120711761687709,6.241920560670324e-17,0.12456864262556118,True
2019-05-31,forward_return_1m,3606,90,600902949073.1029,0.024088166794575733,0.0040638238325341105,-0.0034864045899329183,-0.009423219027112137,-0.004905496474654422,-6.8965601085977556e-18,0.08637678521823515,True
2019-06-30,forward_return_1m,3617,90,578870868230.3705,-0.05711240145210511,0.008996141601690925,-0.003378554827846431,-0.011302224801126224,-0.011644722669242174,2.4555665460329698e-17,0.09305780512661121,True
2019-07-31,forward_return_1m,3652,90,573753787672.953,-0.008979009747796519,0.003480537738647246,-0.00518997761254354,0.007739303309575727,0.0016966289936014452,1.2160164563254726e-17,0.09358307613006589,True
2019-08-31,forward_return_1m,3666,90,622487072111.2826,-0.058311384829095966,-0.004686915546488391,0.0012283387156612575,-0.007616466501867028,-0.0060807498020970865,-6.056863200355464e-18,0.10028644645902249,True
2019-09-30,forward_return_1m,3677,90,626500532530.4906,-0.020627934857927254,0.018049863048564967,0.0010951985344442566,0.0026169196735285677,-0.01990022604653298,-8.937340638810072e-18,0.09589557779952776,True
2019-10-31,forward_return_1m,3692,90,624511218873.9358,-0.01651507986454964,0.01890692011727437,0.0010729059469072736,0.007538139687877466,-0.020982356733981862,-2.405683693662311e-18,0.09243450191513687,True
2019-11-30,forward_return_1m,3721,90,623479610263.7867,0.08977809793186983,-0.00942612802320735,0.0009420469705081526,-0.0017186749708979132,0.006875929006900649,4.1114951032880026e-17,0.10741021076198758,True
2019-12-31,forward_return_1m,3748,90,637736117768.0071,0.009895478215577543,0.0040420387453144685,-0.0024706113573209946,0.0010783983994694301,0.00551633408051184,1.6588177529084516e-18,0.1147040137652916,True
2020-01-31,forward_return_1m,3762,90,658885160014.0962,-0.024710682973682035,0.005452315633919199,0.0012079574608108968,0.014408539250601515,0.00809537406176091,-7.554946685381183e-18,0.13657944444949,True
2020-02-29,forward_return_1m,3784,90,668090443314.4138,0.23920841987794603,0.007917327206695492,-0.012510804398614494,-0.011835180681824929,-0.048871985352031334,7.393662848983601e-18,0.1198775584543062,True
2020-03-31,forward_return_1m,3797,90,685281489612.689,-0.02999367238715878,0.01559534719325971,0.01018370697771635,-0.008389231050426027,0.01145702656447759,4.6783166694765615e-18,0.12296427150650711,True
2020-04-30,forward_return_1m,3817,90,650412039050.8949,0.11286770437650921,0.0145449055262943,-0.003028771273748998,0.006992156606889247,-0.024930816061369886,3.8626569994818127e-17,0.13749766944010675,True
2020-05-31,forward_return_1m,3828,90,662302438470.0731,-0.021496058375616606,0.0008758076261073771,0.0054678187688830876,-0.0004219434061259894,0.0163396796368911,5.0812715233627854e-17,0.13088785653467216,True
2020-06-30,forward_return_1m,3858,90,726252236182.227,0.20481479410147727,0.029468026476804868,0.00807719160491908,0.012070148741528976,-0.029193471252283776,7.919475800332895e-17,0.1896209694779635,True
2020-07-31,forward_return_1m,3934,90,777848413432.7544,0.1370820310645423,0.01785856329261056,-0.005823942665397221,-0.002668690200990427,-0.04559489610002877,2.2125441060145468e-17,0.12823990025666665,True
2020-08-31,forward_return_1m,3989,90,751834071989.5591,-0.1153499820423862,0.0059788923432093225,0.0012516270606595708,0.0034995856136445097,-0.01129055304024861,2.4492260257461462e-18,0.10135398299407306,True
2020-09-30,forward_return_1m,4057,90,695283607599.211,-0.02853383273278765,0.014721345545549465,-0.0009403809373761644,0.03463818267934219,-0.021991281263494436,-4.378498494947622e-19,0.1175557533116981,True
2020-10-31,forward_return_1m,4083,90,733775762262.9514,0.025190939486052097,0.014031928458926634,0.004920884984448335,-0.009967348623520054,-0.018194324911173912,2.08829606395327e-17,0.10653393512805129,True
2020-11-30,forward_return_1m,4109,90,762401380096.1835,0.16369704734453425,0.04686364132173922,0.010946541460688278,0.011085280004535333,-0.014588567792535352,5.403859939767128e-17,0.136546627424207,True
2020-12-31,forward_return_1m,4167,90,750316119971.7834,-0.14025427349839079,0.0582827266951602,0.005501620765326813,-7.095894647134934e-05,-0.02131403069439292,9.378413838926208e-18,0.11970836089509382,True
2021-01-31,forward_return_1m,4203,90,778742274186.0746,0.08842478183113867,-0.010594552293845648,0.005488237631165774,-0.009979128924522579,-0.00873847516824164,-4.015082078111439e-18,0.09826834869172994,True
2021-02-28,forward_return_1m,4233,90,810552173554.3767,-0.01717133346056726,-0.013376094742049842,-0.004101152395045143,-0.008317630952152377,-0.014030749730647206,1.720544068400904e-17,0.11263449078071716,True
2021-03-31,forward_return_1m,4274,90,802560997020.4679,-0.08960233165197154,0.030743986126675376,-0.004353672066424051,0.006470163825644471,-0.027024659481105814,3.7561593205614796e-17,0.13704776150569636,True
2021-04-30,forward_return_1m,4327,90,740536919592.9995,0.04224646523066993,-0.018000653573138514,-0.003062081562298159,0.015730587584190797,0.011998577390881972,3.7152829666217395e-17,0.13243523203131063,True
2021-05-31,forward_return_1m,4366,90,815723263195.5891,0.07419772505134264,0.00740504763809039,-0.0059971377876391375,0.01745005942316545,-0.02908778069868243,-5.1874827536310565e-18,0.13774407798068447,True
2021-06-30,forward_return_1m,4423,90,813567734627.9243,0.046262288735178736,-0.015047817457525196,-0.009016246339644094,0.005299481981428883,0.015803479373220214,1.0843688596836256e-17,0.17299371575062145,True
2021-07-31,forward_return_1m,4471,90,870141077363.4479,-0.0059127030585936925,-0.0075506671666107075,0.0070359929803028975,-0.0050245604417440345,0.002851722788924119,2.940067235867111e-17,0.1629292251379958,True
2021-08-31,forward_return_1m,4519,90,861792498363.9915,0.037345383687982174,0.03234267284408378,-0.006456515025139674,-0.005168425135594745,-0.05631173644421965,2.9579741572221474e-17,0.14259895163168645,True
2021-09-30,forward_return_1m,4557,90,880361076763.0928,-0.019334910061454852,0.012367920321628987,0.0002961751154232167,-0.0006824306742749891,0.002189674641965527,1.3789471844148312e-17,0.11444838716799009,True
2021-10-31,forward_return_1m,4590,90,876491813754.9404,0.047497007697960315,-0.050574613519343184,0.003862481217349591,-0.008337784370334294,0.017680102433705883,4.102261982057223e-17,0.15556207714608294,True
2021-11-30,forward_return_1m,4635,90,850230722048.1384,0.07109657550096114,0.019857609040023462,0.0067246164185700815,-0.008189630519400611,-0.04067724379688096,5.3654791265595485e-17,0.1379825853989135,True
2021-12-31,forward_return_1m,4679,90,824261739508.1443,-0.10765746148682809,0.011563417124632469,0.00028141233117272437,-0.007455065067178713,-0.03610888640473593,1.936187194046009e-17,0.10245589478960503,True
2022-01-31,forward_return_1m,4711,90,816573840270.3011,0.056176611592752404,-0.015759919319161615,0.0051985169994424,-0.00021912652429624053,0.017786234858790547,1.1311973080451606e-18,0.10249767293061024,True
2022-02-28,forward_return_1m,4728,90,862422048308.9742,0.09025807060904928,-0.034093459620088154,-0.009014081914934514,-0.007242919543452292,0.017801156788362416,1.2774139708039025e-17,0.12358644963536496,True
2022-03-31,forward_return_1m,4764,90,889807319709.664,-0.13644225298456564,0.055827983878439714,-0.0015210767319883249,-0.008575222322242951,-0.03815404991355808,-6.711675715618075e-17,0.10895147300128401,True
2022-04-30,forward_return_1m,4799,90,888801934947.0704,0.24899297931217293,0.004533857968428028,0.013729615044339831,0.004602534762383914,-0.0056293311753195935,6.977354953676749e-17,0.13447352941995483,True
2022-05-31,forward_return_1m,4785,90,875246864917.4554,-0.0884112328817237,0.0006194668415251197,0.021429540522442034,-0.021523113463006695,0.01587180313222325,5.0859119539777285e-17,0.13004409622142404,True
2022-06-30,forward_return_1m,4809,90,873136013705.5043,-0.035967208194498786,-0.0179760388317822,0.011099840318405317,0.007576591953210903,-0.005161864961396157,3.102806706375983e-17,0.12739632480961846,True
2022-07-31,forward_return_1m,4843,90,884340673409.8328,0.02469446318631727,0.01731068539253424,-0.009796250993378929,-0.0042452344732604366,-0.02959542292541428,6.602193497667667e-18,0.10245912111977862,True
2022-08-31,forward_return_1m,4893,90,854383848571.9222,-0.11852799914839478,0.018577545550555668,-0.006847159259157832,0.0027118102997411796,-0.024641680695203446,1.7925121386754008e-17,0.08565273015418787,True
2022-09-30,forward_return_1m,4942,90,871461871415.5306,0.033842726509626435,-0.011218031500079955,0.010954455002692572,-0.005405801196497515,-0.002597159898130425,1.096294690443295e-17,0.11642443071792563,True
2022-10-31,forward_return_1m,4973,90,896455251852.7665,0.0715512785169784,-0.018741734947250017,-0.00996203479949583,-0.016829156000956257,0.014261608504073783,1.678841171361588e-17,0.1150770042457621,True
2022-11-30,forward_return_1m,5007,90,932829817066.3855,0.008845597263306422,0.0073855143309138485,-0.004492938934307353,-0.00762808161483345,-0.0009954649138115604,6.385944299821152e-18,0.09277283550345494,True
2022-12-31,forward_return_1m,5067,90,925659544559.6891,0.036303696069751215,-0.00905048877748543,0.012714125251896904,-0.01733859100046042,0.006994578960789099,2.024563005237112e-17,0.08276937453389949,True
2023-01-31,forward_return_1m,5076,90,929918958116.5786,0.04348162582983714,-0.009331834620849341,-0.0013418600843361805,-0.013302706960795704,0.0011668152940329246,3.307047307394083e-17,0.09591728920834018,True
2023-02-28,forward_return_1m,5096,90,898345145276.0336,-0.029432837903540704,0.010231897311166908,-0.002020528091655625,0.0013450960117104677,-0.004902028855136837,2.056614080153351e-17,0.10219511639590714,True
2023-03-31,forward_return_1m,5129,90,949113016174.527,0.02554627575339805,0.019334153044576093,-0.010792580767023524,0.007980199182010669,-0.013605347748077853,7.273053933984258e-18,0.12214988526618248,True
2023-04-30,forward_return_1m,5162,90,985930206172.4977,-0.02429439002402659,-0.023047396296555195,-0.0012595164630446146,-0.002981175955894928,0.00654429214617366,5.59197958935569e-18,0.11622644858072842,True
2023-05-31,forward_return_1m,5166,90,964779570365.5192,0.02266193308883554,-0.016812767930415223,0.006709519959302865,0.0006277300693126299,0.015373185146527224,2.2350599024586968e-17,0.09625258417485588,True
2023-06-30,forward_return_1m,5208,90,944457718253.8976,0.05938308715560148,0.007360726048316297,0.00018458009166423013,-0.01837923690978105,-0.01712853647566651,1.8077364149042487e-17,0.09036041034812156,True
2023-07-31,forward_return_1m,5233,90,923832570370.1302,-0.0716228260682581,-0.022760587111200308,0.00015353686833003902,-1.692681050645763e-05,0.008599981301739074,1.4511609953059566e-17,0.084318660555289,True
2023-08-31,forward_return_1m,5265,90,914525635023.5222,-0.02707576297148836,-0.0050696151564248,-0.0006197115354944367,-0.011577012841357702,-0.003052984965595344,2.4629449055312115e-17,0.08983055097754218,True
2023-09-30,forward_return_1m,5286,90,931577366006.187,-0.03295408588606141,-0.01001643445029375,-0.0020872201979081134,-0.0021537648260483407,0.004792931320577367,1.8482713993002983e-17,0.09836372001017998,True
2023-10-31,forward_return_1m,5297,90,969439063290.7316,0.04764740423821,-0.006143811954049383,0.003573859998576307,0.01677827664508404,-0.07869714192396285,7.042381277592083e-18,0.12478753554409044,True
2023-11-30,forward_return_1m,5314,90,937024434528.7574,-0.00526146160394069,0.012622235218098354,0.003160786713691842,0.05737526202736484,-0.04631349414935146,6.6855733511488535e-18,0.10812839710861938,True
2023-12-31,forward_return_1m,5332,90,872205004702.9899,-0.13562091736833953,0.04445657907504364,-0.006593663658335243,0.008303567380804865,-0.02810701512358891,-6.663003898725621e-19,0.09398104083232887,True
2024-01-31,forward_return_1m,5344,90,1059254695526.2712,0.05883216785762461,0.04138775328687927,0.025297717046949802,-0.004627813401245653,0.021694230264942337,-9.972063095435538e-18,0.09952717590923982,True
2024-02-29,forward_return_1m,5350,90,1203554891769.0903,-6.716375807525427e-05,-0.004536453972050447,-0.015676798554502647,0.026116495357493025,-0.0018894765044715845,1.7929583051890378e-17,0.12401800438926722,True
2024-03-31,forward_return_1m,5358,90,947198412132.7843,-0.05809564102608318,0.029013289863765574,0.0013368890578054206,-0.02446674638163451,-0.01659991010087723,-4.6414699051145025e-18,0.10584123881489042,True
2024-04-30,forward_return_1m,5359,90,1116278835393.081,-0.026357563449401347,-0.0006927626174279135,0.0008194540060726226,-0.0028688882034791563,-0.0027825393832522226,1.6905056691437352e-17,0.10729968879760923,True
2024-05-31,forward_return_1m,5343,90,989094798716.7599,-0.12234020191482903,-0.007934607970323295,-0.0016466232366979122,-0.014774453887868537,0.014702707490990483,8.644072211193433e-18,0.09042009416460647,True
2024-06-30,forward_return_1m,5336,90,1045339062866.6687,0.015514810867559656,-0.004874748934312303,0.006998794156957702,0.006816155064668613,-0.00823296006084639,8.988312343292121e-18,0.10775518811797898,True
2024-07-31,forward_return_1m,5337,90,994178551965.4872,0.013432190885820448,0.0043174853728828125,-0.003681869949447688,-0.00242259781010468,-0.018342564365612282,6.656761624134347e-18,0.09158346411314804,True
2024-08-31,forward_return_1m,5342,90,951572999727.8274,0.21895516903092702,-0.009618748317720046,0.015517895182496421,-0.0002582072038852063,0.008319319906473653,-1.9951593104458073e-18,0.12077873951851653,True
2024-09-30,forward_return_1m,5351,91,969758333836.4436,0.18271870657077607,-0.05089234211151477,0.023228889696178562,0.04060761796196126,-0.0004464186569748501,3.9836071898342375e-18,0.2279263651838109,True
2024-10-31,forward_return_1m,5362,91,960229658731.2146,0.08907714506824678,-0.012825560533534957,-0.011395288278257037,0.014601525315853918,-0.03576954410472294,3.909177677158328e-17,0.15793573328785432,True
2024-11-30,forward_return_1m,5372,91,939330174246.7728,-0.03808404190108151,0.013991019923627696,-0.017423848807199733,-0.03324822482198722,0.0009538081047854868,5.952051956292723e-18,0.11969276065265166,True
2024-12-31,forward_return_1m,5380,91,917254116873.1016,-0.01895088444578279,-0.0022100329232357815,-0.00321157812888029,0.0008922786346795369,-0.004926501374861356,-8.914801982120217e-18,0.0927918050407658,True
2025-01-31,forward_return_1m,5392,91,910904311568.0599,0.028047787042264967,-0.024290407525687552,0.02663263573311561,0.01112194237700944,0.009082488058694424,4.809868296595634e-17,0.14155893757032728,True
2025-02-28,forward_return_1m,5390,91,979937495188.7675,-0.03912054221159197,0.004746794812639798,-0.01134968231893313,-0.009892791599460996,-0.021718349482399365,3.2956527632657707e-19,0.10576236587362109,True
2025-03-31,forward_return_1m,5402,91,882940355113.4546,0.12466913799435284,0.0028205679191903497,0.0014644222156754217,0.011231053773348806,-0.02205278714001958,3.222565165887163e-17,0.10863903486078315,True
2025-04-30,forward_return_1m,5407,91,994049882064.8423,0.03645974177356704,-0.020585127009214006,0.002918282218808737,0.007167651402979054,-0.006376210332930896,3.7452317309345026e-17,0.11763815985465081,True
2025-05-31,forward_return_1m,5400,91,874158333820.1635,0.030922317587632624,-0.0203455293863039,0.002027756448660592,-0.0051575920473983855,0.0039061534006194693,4.5231308410654523e-17,0.11311353531192694,True
2025-06-30,forward_return_1m,5414,91,896893707911.6716,0.002538617857726433,0.005329728870391509,-0.006009308337649528,-0.0035998926511124933,-0.012756965540632126,3.018559830528686e-17,0.13827844674983003,True
2025-07-31,forward_return_1m,5418,91,953010553724.0016,0.043583126878793364,0.0135082761220913,-0.001993654213268584,-0.0025971309212702953,0.015005341864915893,4.6556417717762196e-17,0.14034388974332407,True
2025-08-31,forward_return_1m,5424,91,983793226344.6028,-0.04209228577347814,0.025222135156142352,-0.004831306354807295,-0.0005204845402295709,-0.014318543879757943,1.211747843986159e-17,0.13658289111483493,True
